nomor,nama_akun,tanggal_komentar,komentar
75,@yunyunm7587,2023-09-13T07:23:30Z,"Pak polisi yang Amanah terimakasih,generasi kita pasti sehat sekelas Bandar Narkotik besar ketangkap ,tangkap lagi kalau ada bandarbandar syaitan ini ya pak,terus mereka hukumnya dipercepat lagi hukuman mati.<br>Bravo polisi NKRI."
76,@ruangkamarku2215,2023-09-13T07:30:51Z,BTw nanti dwitnya kmna ya hbis jdi barangbukti
77,@ceritaku8483,2023-09-12T22:11:11Z,p
78,@sitiasiyah1960,2023-09-12T23:54:43Z,Sngat s7 klau smua aset disita dan miskin kn dan orang y di hukum mati
79,@abdulkohar8166,2023-09-14T14:56:39Z,Hukum mati
80,@ekokurniawan6574,2023-09-13T03:36:48Z,"Di dalam penjara mereka masih bisa berbisnis narkoba , Polisinya bisnis , sipir penjaranya bisnis , hakimnya bisnis. Rezim ini REZIM SANDIWARA...."
81,@uu7uuu,2023-09-13T08:14:16Z,Mantap.baru pak jokowi yang bisa.dan akan dilanjutkan pak ganjar
82,@viera4222,2023-09-13T07:43:22Z,Cebonk ketangkep 🤣🤣🤣
83,@susisumarni2248,2023-09-13T00:51:09Z,"Sita sampai habis harta Dan asetnya supaya tiada MODAL LAGI, dan hukum mati langsung semuanya biar beri efek jera kpd PELAKU/PENGEDAR LAINNYA.. kalau masih hukuman seumur hidup kemudian sbb Kelakuan baik trs Di beri REMISI tdk akan habis JERA PENGEDAR SABU DINEGERI KITA.."
84,@juliandacandra7626,2023-09-13T07:54:35Z,Jangan jangan ini nanti hukumannya ringan kali ya
85,@abiyyuiyu4276,2023-09-16T04:59:25Z,Semua ini biang keladinya adalah koruptor...
86,@redme9988,2023-09-12T22:28:42Z,Udah muakkkk mau comment mafianya disitu semua mau baju apa dipakainya semuanya sama aja lama2 mau Dari luar negeri atau pun warga ngak kira dinegara mana juga dah mulai muakkkk tengok berita Indonesia nanti hujung2 polisi dalang nya hujung2 mafianya kayak kasus teddy minahasa hujung2 polisi juga alaaaa udah tv one ngak usah dnaikkan lah buat jadi dosa aja kalau dkritik ...
87,@Wawan-ly2jf,2023-09-27T18:18:44Z,Bravo polisi jujur indonesia hukum harus adil koruptor SM narkoba bikin hancur suatu negara harus di basmi klo ngga bangsa Indonesia tinggal tunggu kehancurannya  tugas penegak hukum harus tegas dong......
88,@mamadkin1885,2023-09-13T01:03:45Z,Gak jauh sarang narkoba ya dikepolisian da rahasia umum
89,@nurlmpng5630,2023-09-13T00:55:38Z,"👍👍👍💪💪💪 hukum mati pak selamatkan anak bangsa dari barang haram ,uang penyitaan gunakan untuk rakyat pak ❤❤❤"
90,@tutormelissa,2023-09-16T05:16:23Z,Mustahil ga ada pangkat bintang yg melindungi
91,@radenaditya2402,2023-09-16T04:27:38Z,"Tembak mati lah,,,masa kalah sama negara sebelah.."
92,@bennylukman5863,2023-09-13T12:11:34Z,Kelewat  kaya raya  karna bing ung gunakan uang terlalu bznyak utk apa  dan tfk kenal msh banyak  bangsa INDONESIA yg di bantu mkn  dan sejahtra nya  jln2 rusak di kampung2  utk jln   pangan dan ke rumah sakit saat ibu2 hamil  dan banyak lagi yg kurang mkn  apa tdk sebaik nya  brikan pd bangsa yg butuh  pemerataan asli  terwujut
93,@wahyuniayu2146,2023-09-13T03:06:03Z,Hukum mati tersangka
94,@djokosutrisno9280,2023-09-18T03:48:14Z,Kalau perlu penegak lain yg nakal harus dibrangus.
95,@soehoekgie5141,2023-09-16T04:15:11Z,"Klu mau dapat seperti itu aset aset nya,,judi dan narkoboy di sumut juga bisa bapak dapat..<br>Klu niat"
96,@muchammadxanandy6219,2023-09-13T01:34:56Z,"setuju sekali semua hartanya di sita,begitu juga dengan para koruptor...!!mereka sama-sama sangat berbahaya dan merusak bangsa..!!."
97,@agungcianjur4000,2023-09-14T15:24:51Z,Mantap nih bonus nya bagi bagi tuh buat bayar utang
98,@sumiyatunsumiyatun1170,2023-09-15T09:50:18Z,"hati hati jgn sampai terjadi lagi koyok yg kemarin lusa , di curi jendral itu"
99,@windanda2463,2023-09-17T17:00:45Z,Ngak ada jalan pemberatas nya selain tembak mati langsung pak mabes....
100,@putrabachtiar4197,2023-09-15T09:03:37Z,yg terbongkar 10T yg selama ini tidak terbongkar brp?
101,@AsalUpload05,2023-09-17T16:58:13Z,"Waduh cuan gilee nih dapet kasus sebesar ini,lumayan buat tabungan petinggi 😂"
102,@jokosediono4391,2023-09-13T13:45:34Z,Bandar narkoba &amp; koruptor wajib hukum mati tak ada kata terkecuali<br>Seperti yang terjadi pada almarhum Budiman
103,@makadsmakads9588,2023-09-12T23:33:19Z,Yang korupsi dong yg smakin menggila.
104,@idauswatunhasanah4170,2023-09-13T00:29:41Z,Sudah saatnya dihukum mati...niatnya sdh merusak bangsa Indonesia yg dibangun dgn susah payah.....
105,@aminsutrismanCANEL,2023-09-19T03:18:49Z,"Woww sgt mnghiurkan nominal nya ,wkwkw"
