nomor,nama_akun,tanggal_komentar,komentar,komentar_preprocessing
1466,Benny Lukman,2023-09-13T12:11:34Z,Kelewat  kaya raya  karna bing ung gunakan uang terlalu bznyak utk apa  dan tfk kenal msh banyak  bangsa INDONESIA yg di bantu mkn  dan sejahtra nya  jln2 rusak di kampung2  utk jln   pangan dan ke rumah sakit saat ibu2 hamil  dan banyak lagi yg kurang mkn  apa tdk sebaik nya  brikan pd bangsa yg butuh  pemerataan asli  terwujut,lewat kaya raya karena bing ung uang bznyak untuk tfk kenal bangsa indonesia bantu mkn sejahtra jln rusak kampung untuk jln pangan rumah sakit ibu hamil mkn tidak brikan pd bangsa butuh perata asli terwujut
1469,Alex Cobain,2023-09-14T04:45:51Z,"Knpa kok gk habis2 Sabu sabu, di indonesia, pdahal pngkapan selalu bnyak. Trus pemusnahan narkoba itu apa ya, apa dr pngkapan yg kecil2 itu di kumpulin. Dn trus mreka bisa putar melalui krja sama  dgn orang , utk mncri pangkat/orang yg ngejalani di ajk krja sma mnjadi Bandar dn membutahkn dgn uang juga di jamin aman, slnjutxa bandarxa di jdikan korban dgn gnti topeng.. <br>Smoga polisi indonesia mnjadi jujur, amanah, Amin ya Allah.",kenapa tidak habis sabu sabu indonesia pdahal pngkapan banyak terus musnah narkoba dr pngkapan kecil kumpulin dan terus mreka putar krja dengan untuk mncri pangkat ngejalani ajk krja sma jadi bandar dan membutahkn dengan uang jamin aman slnjutxa bandarxa jdikan korban dengan gnti topeng smoga polisi indonesia jadi jujur amanah amin
1473,Abah Uca,2023-09-16T09:35:17Z,"Mungkin jaringan yg lainnya msih ada,Institusi Polri klo mo bersih&quot; jaringan narkoba saatnya nih termasuk oknum aparat",jaring msih institusi polri mau bersih quot jaring narkoba oknum aparat
1475,sak karep mu@###,2023-09-13T18:54:26Z,Alah di dalam penjara aja masih bisa melakukan transaksi narkoba terutama di sumatra utara parapejabat kalapas nya berbut untuk menduduki posisi strategis untuk menjaring uang mafia narkoba di dalam lapas penjara,alah penjara aja transaksi narkoba sumatra utara parapejabat kalapas berbut duduk posisi strategis jaring uang mafia narkoba lapas penjara
1479,Agus Darmawan,2023-10-08T06:26:53Z,"&quot;PASTI ADA DEKINGANNYA &quot; PERTANYAANNYA &quot; KLU TDK ADA DEKINGANNYA KNP BARANG HARAM ITU BISA MASUK KE NKRI&quot; SEANDAINYA DIJAGA KETAT DI JLN TIKUS DI DAERAH DAERAH MANAPUN SEPERTI SARAWAK  TENTU BARANG HARAM ITU TDK BISA MASUK KE NKRI,&quot; DAN HARUS JAGA DIPERKETAT DI BEACUKAI DAN CARGO CARGO..",quot deking quot ta quot kalau tidak deking knp barang haram nkri quot anda jaga ketat jln tikus daerah daerah mana sarawak barang haram tidak nkri quot jaga ketat beacukai cargo cargo
1485,m samroni,2023-09-15T07:49:46Z,"Bekingannya juga hrs di cari dan di tangkep, hmpir di seluruh pelosok desa narkoba jenis sabu udh beredar",beking hrs cari tangkep hmpir pelosok desa narkoba jenis sabu sudah edar
1490,Herman Nurdin,2023-09-12T22:54:56Z,"Kepolisian Republik Indonesia,walau tak luput dari kekurangan nya.Namun banyak sekali hasil perjuangan nya yang menyumbangkan hasil kenegara,salut nya angota²bukkam satu suara.tidak koar² perperson.Mantab",polisi republik indonesia luput kurang hasil juang sumbang hasil negara salut angotabukkam suara koar person mantab
1500,Agus Suswanto,2023-09-16T04:03:03Z,"Habis di sita trus masuk ke mana ya, wkwkwkwkwkwkwkwk, masyarakat yang pintar pasti dah tahu ke mana barang sitaan, tapi kalo yang masih lugu pasti bilang masuk kas NEGARA wkwkwkwkwkwkwkwk",habis sita terus wkwkwkwkwkwkwkwk masyarakat pintar barang sita lugu bilang kas negara wkwkwkwkwkwkwkwk
1501,cocosamp,2023-09-13T00:28:37Z,"Nah ini baru kerjanyata, preses sesuai UU yg berlaku, dan para anggota polisinya Wajib mendapatkan Penghargaan dan bonus yg tinggi untuk kerja nyata spt ini supaya makin semangat membasmi kejahatan di negri ini 🤲🤲🤲",kerjanyata preses sesuai uu laku anggota polisi wajib harga bonus tinggi spt semangat basmi jahat negri
1504,kim_Aliya,2023-09-19T12:03:16Z,Pengedarnya di suapin sabu dulu tuh  yang banyak sebelum sabunya di bakar biar ngerasain kasian jualan mulu anak orang jadi korban mulu,peedar suapin sabu sabu bakar biar ngerasain kasi jual mulu anak korban mulu
