nomor,nama_akun,tanggal_komentar,komentar
156,Paijo Londo,2023-09-13T00:24:33Z,"Jika sdh di sita aset&quot;nya sebaikx secepatny di exsekusi mati ,, sj , sama halnya jugak orang&quot; yg koropsi harus di hukum mati /langsung di exsekusi mati sj ,"
157,Pujo Wibowo,2023-09-18T12:09:04Z,Apabila semua pelaku tidak di hukum mati berarti masih ada penegak hukum yg melindung pengedar jaringan internasional dan Indonesia akan hancur di masa depan .
158,Badrun Nurlaila,2023-09-14T02:18:16Z,Yah Allah Yah robbi..lailahailallaj
159,Arif Wicaksono,2023-09-13T01:42:21Z,Alhamdulillah. Selamat kepada Polisi atas tugas yg telah dilakukan🎉
160,Aw Aw,2023-09-17T15:35:36Z,"Maskernya harusnya di buka,biar kelihatan wajahnya..."
161,Clan turu,2023-09-13T09:11:57Z,Korupsi kapan?
162,Maulana Ishak,2023-09-15T04:38:21Z,Pengen ngomong kasar takut ada tukang gado2 lewat depan rumah. Ahhhh sudahlah
163,BUNE,2023-09-13T07:31:19Z,Harusnya korup juga begitu di miskinkan.
164,sandal jepit,2023-09-16T02:53:32Z,"Itu sebagian kecil, kalo ngga ada oknum ya banyak yg masuk"
165,yaya,2023-09-19T15:27:56Z,Mantab pak POLOSI yh berhasil tangkap hembong  narkoba hukum mati yg cocok
166,Buitenzorg 91,2023-09-14T11:19:05Z,Ini yang menata Narkoba sampai rapih itu siapa dun ?<br>Jangan bilang dari negara untuk negara ✌️ <br>Berantas mafia mafia zhalim yg melindungi hingga mudah sekali narkoba masuk ke negeri Indonesia .<br><br>Mafia kelas kakap nih whale&#39;s nya Indonesia? (Siapa)
167,Nada Kurniawan,2023-09-15T22:19:50Z,Setengah kilo aja udah di kira bandar bisa di hukup mati . Apa lagi 10 ton? Klo masih lolos dr hukuman berat dan hanya di penjara beberapa tahun doang parah sih  🤔
168,Alam indah Desa Indonesia,2023-09-13T03:11:55Z,"Harus di usut sampai ke akar2nya, yang terlibat harus di tangkap jangan pandang bulu..."
169,ً,2023-09-13T01:13:54Z,Yakin BBnya tak dicatuk seperti tedy Minahasa? oyah sudah ada peraturan baru bisa sita aset milik bandar narkoba ya? bisa miskinkan mereka? koruptor kok gak bisa dimiskinkan?😅
