nomor,nama_akun,tanggal_komentar,komentar,komentar_preprocessing
1258,@ningsih7068,2023-09-14T15:43:40Z,Sulit dan mustahil untuk bisa memberantas masalah shabu shabu karna nilai uang nya terlalu besar setiap hari di tangkap namun mo beli sabu sama mudah nya dgn beli beras di kedai apek lehen,sulit mustahil berantas shabu shabu karena nilai uang tangkap mau beli sabu mudah dengan beli beras kedai apek lehen
2506,@andiphone785,2023-09-16T04:35:25Z,Alah ujung-ujungnya polisi juga tuu orang dalamnya taulah di Konoha ini banyak kali tikus nya dan pkinya kalo kasusnya kayak gini cepat kali tapi kalo kasus Rempang ditutup-tutupi apa kayak gitu gak guna ada polisi dan presidennya samasama kotor dan rakus kekuasaan,alah ujung ujung polisi tuu dalam tau konoha tikus pki kasus kayak gin cepat rempang tutup tutup kayak gitu gak polisi presiden samasama kotor rakus kuasa
2309,@burhanudinksp9070,2023-09-16T19:39:25Z,Ini kan hanya peralihan saja&#39;entar saja udah bebas &#39;&#39;kalo memang benar terbukti orang ini.pedagang sabu2 dannheroin &#39;tidak ada ampun&#39;setelah ingkerak&#39;pengadilan yg mrmutuskan pidana mati&#39;&#39;2x30 hari harus di esikusi mati&#39;terus ditembak saja buat rusak  generasi muda dan bangsa indonesia &#39;yg jadi polisi banyak dinpecat&#39;yg jadi T.N.I.Juga banyak di pecat &#39;karena  terlibat perdagangan  dabu2.ini semua sengaja fi buat begitu oleh orang2 partai komunis tiongkok.&#39;dgn lemah bangsa 2 di duniaini.&#39;mereka orang2 cina komunis tiongkok lebih mudah untuk menyerbu bangsa&#39;ini.wadpadalah  indonesia&#39;dgn perogeres cina  komunis tiongkok&#39;mereka ingin buat pemuda2 indonesia semua lemah dan lengah..ok.,alih entar sudah bebas bukti dagang sabu dannheroin ampun ingkerak adil mrmutuskan pidana mati esikusi mati tembak rusak generasi muda bangsa indonesia polisi dinpecat pecat libat dagang dabu sengaja orang partai komunis tiongkok dengan lemah bangsa duniaini orang cina komunis tiongkok mudah serbu bangsa wadpadalah indonesia dengan perogeres cina komunis tiongkok pemuda indonesia lemah lengah
392,@sumiaryaniyani3448,2023-09-13T03:59:45Z,DI HUKUM MATI DAN DI MISKIN KAN KALO PERLU DI DORPARA POLRI. HARUS SIGAP. TERMASUK.ANGGOTA POLRI  JANG PADA YADI KURIR NARKOBA   DAN MALAH.NGAYAK RAKJAT MENYADI KURIR  SAMPE KE DESA2 WAHI BPK POLRI TELUSURI  PARA APARAT JANG MENJALAJ GUNA KAN YABATAN,hukum mati miskin dorpara polri sigap anggota polri jang yad kurir narkoba ngayak rakjat sad kurir sampai desa wah bpk polri telusur aparat jang menjalaj yabatan
1073,@bennylukman5863,2023-09-13T12:13:53Z,Sedih nya negri ku ini  bikin  hukum nya msh bergihak pd bandsr narkoba  tdk wujud kan  hukuman   mati bagi pengedar   bandar2   nya  ini salah satu kelemahsn negara kita😂😂😂    yg tdk akan  bisa tereujud    keamanan generasi muda kita😂😂😂😂,sedih negri bikin hukum bergihak bandsr narkoba tidak wujud hukum mati peedar bandar salah kelemahsn negara tidak tereujud aman generasi muda
706,@Muhamadalfatiralfatir-tn3bc,2023-09-19T18:27:03Z,"Kami akan tungngu hukuman matinya.,<br>Bukan tajam pda masrakat awam, tumpu <br>Pda para elit dan mayuer.",tungngu hukum mati tajam pda masrakat awam tumpu pda elit mayuer
162,@jagaindonesia8173,2023-09-12T23:15:21Z,"INI TERORIS  RADIKAL INTOLERAN YG NYATA,,,,INI YG HARUS DITEMBAK MATI,,,,,BUKAN ENAM LASKAR FPI  YG DITEMBAK MATI,,,,,,,,AYO BUKTIKAN ,,SEGERA TEMBAK MATI,,,",teroris radikal intoleran tembak mati enam laskar fpi tembak mati ayo bukti tembak mati
756,@aleshafashion8893,2023-09-13T10:33:42Z,"sita semua hartanya kembalikan ke negara biar negara kita kaya raya,yg cari duit di gantung keren tenan ki",sita harta kembali negara biar negara kaya raya cari duit gantung keren tenan
2313,@user-ek1hc3ue9n,2023-09-16T14:06:23Z,"Sebenernya polisi udh tau lama kasus itu😂, Cuma baru dibongkar pas Nama Kepolisian lagi Jelek aja😂,  Logika artis yang bawa narkoba 3 gram aja ketahuan, ini Narkoba Ber ton ton Masa baru ketahuan 😂😂😂",sebener polisi sudah tau bongkar pas nama polisi jelek aja logika artis bawa narkoba gram aja tahu narkoba ber ton ton tahu
2293,@April-oy4pw,2023-09-13T05:56:55Z,Didlm aja katanya peredaran gencar apa lg di luar.... Maknai aja lura dan dlm...!!!! Hal ini di ungkap cerita2 yg prnh ada di dlm,didlm aja edar gencar lagi makna aja lura dalam cerita prnh dalam
2537,@rekananrekanan5445,2023-09-16T04:03:31Z,"Yo ada pjabat yg mlindungi pasti aja kuaya ruaya dn jy a,coba rakyat yg jual ws remok dikploki🙄🙄",pjabat mlindungi aja kuaya ruaya dan coba rakyat jual rok dikploki
428,@user-id2fh6cl4c,2023-09-19T23:04:25Z,Kena apa indonesia selalu di jadikan sasaran ladang kejahatan dari Narkoba judi perostistusi dan korupsi saya tau alasannya karena para penegak hukum di Indonesia gampang tergiur sama sogokan alias korupsi jadi orang jahat begitu beraninya selalu melakukan kejahatan di Indonesia coba kalo Indonesia melakukan hukumnya seperti negara cina tidak tangung tangung hukumannya mati buat para penjahat pasti orang2 yg mau berbuat jahat ke Indonesia pasti Berpikir duwa kati alias takut aku harap para penegak hukum Indonesia harus adi dan tegas makasih dari Maun tiyasmukti putra Banjarnegara semangat,indonesia jadi sasar ladang jahat narkoba judi perostistusi korupsi tau alas tegak hukum indonesia gampang giur sogo alias korupsi jahat berani jahat indonesia coba indonesia hukum negara cina tangung tangung hukum mati jahat orang buat jahat indonesia pikir duwa kati alias takut harap tegak hukum indonesia adi makasih maun tiyasmukti putra banjarnegara semangat
1068,@muarofahjombang6896,2023-09-18T03:56:34Z,"Semua yg terlibat harus dihukum seberatnya bahkan harus dihukum mati sampai ke akar2nya bahkan yg aparat yg melindunginy agar yg lain jera,untuk melindungi masa depan anak bangsa..😅",libat hukum berat hukum mati aparat melindunginy jera lindung anak bangsa
1956,@dwinugraha9630,2023-09-13T00:59:04Z,Tar tau&quot; hukuman mati jadi seumur hidup lewat lembaga tinggi negara yang kemarin kasih keringanan utk FS dkk... 😊,tar tau hukum mati umur hidup lembaga tinggi negara kemarin kasih ringan untuk dkk
2382,@campursari6131,2023-09-16T03:39:03Z,"Ini hal sdh ke tiga kali selama 10 tahun teeakhir ini...dan baru sepuluh tahun ini jujur..bs sampai triyunan...ingat tdk pasokkan ton an..narkoba...yg tertabgkap..lalu kedua kali sama..dan saat ini malah jaringan narkoba...<br>Knp bisa Bgtu..ini nyata...dulu jgn mengada ngada klo bilang ada smp pasokkan ber ton ton....ini sm aja meng hancurkan anak bangsa ,masa depsn bangsa ini....krn setelah terkena Narkoba mrk tdk bs berpikir secara normal ada sel syaraf yg rusak...<br>Dan klo pemerintah pny wibawa harusnya tdk ada yg seperti ini !!!mrk takut segan utk kirim.narkoba ke Indonesoa..aolg saat ini ko ada se org perwira ikut dlm jaringan Narkoba...",sudah tahun teeakhir puluh tahun jujur triyunan tidak pasok ton narkoba tertabgkap jaring narkoba kenapa begitu jangan ada ngada bilang smp pasok ber ton ton aja meng hancur anak bangsa depsn bangsa karena kena narkoba mrk tidak pikir normal sel syaraf rusak perintah pny wibawa tidak mrk takut segan untuk kirim narkoba indonesoa aolg orang perwira dalam jaring narkoba
914,@sbk8315,2023-09-13T01:35:00Z,"Baguuus sih,tp saya masih blm percaya barang hasil sitaan nya di musnahkan sm polisi 😂 drpd nganggur,mending dijual lg 😂 lumayan",baguuus tapi blm percaya barang hasil sita musnah polisi drpd nganggur mending jual lagi lumayan
1674,@fathularifin4428,2023-09-13T02:20:33Z,"Wah cuma permainan ,, hukum mati harus nya,,tapi ,,,biasa rubah seumur hidup ,,,hidup di tahanan masih bisa ngelola bisnis di tahanan,,,, Hukum apa an di NKRI ,,,, 🙈🙈🙈🙈🇮🇩♥️",main hukum mati rubah umur hidup hidup tahan ngelola bisnis tahan hukum nkri
1689,@rezafaisal9359,2023-09-17T15:17:42Z,"Jaga UANG NYA , kalau nggak bisa ngejaga nya , biar aku yg Jaga . <br>Nggak usah Whatsapp, langsung aja datang kerumah gua . <br>Medan. Jalan denai Gg. Mulajadi No.18 <br><br>Tengkyu ...",jaga uang nggak ngejaga biar jaga nggak whatsapp aja rumah saya medan jalan denai mulajadi tengkyu
2295,@iwansetyawan2546,2023-09-13T05:55:01Z,"ya iyalah berani nangkap polisi kita,soal nya udh internasional mslh nya jd mau ga mau polisi nangkap,coba aj fbi sma interpol ga ikut polisi mah ga berani nangkap bandar internasional kya gini",iya berani nangkap polisi sudah internasional mslh tidak polisi nangkap coba fbi sma interpol tidak polisi mah tidak berani nangkap bandar internasional kya gin
947,@AISENODNI26,2023-09-16T00:57:37Z,"Mereka yg merusak dan meracuni negara yg mayoritas usia produktif justru bukan negara maju, disini sering/bahkan setiap hari kasus2 ini. Saya curiga apa para pengedar ini didanai olh orng berpengaruh dari negara lain  karena biaya mereka kesana kemari itu tdk murah",rusak racun negara mayoritas usia produktif negara maju kasus curiga peedar dana olh orng pengaruh negara biaya kesana kemari tidak murah
23,@adisumarno2051,2023-09-16T23:27:33Z,Yg terhormat bapak penegak hukum adiili orang-orang semacam ini dengan hukum yg berlaku karena orang orang semacam ini perusak generasi bangsa hukum merka dengan hukuman yg seberat-beratnya,hormat tegak hukum adiili hukum laku usak generasi bangsa hukum merka hukum berat berat
