Nomor,Nama Akun,Tanggal Komentar,Komentar,Komentar_Preprocessing
489,Peni Juara,2023-09-18T13:33:22Z,Lezat gurih renyah sadap malk nyus. Tmba gemuk aja,lezat gurih renyah sadap malk nyus tmba gemuk
490,boy 123 games,2023-09-15T23:41:40Z,Negara sudah dapat uang. Minimal bahan poko bisa turun minimal ada subsidi nasi padang 😮,negara uang minimal bahan poko turun minimal subsidi nasi padang
491,Purwoko Dekrit,2023-09-15T06:58:38Z,"Hukuman mati yg pantaa bagi pengedar dan bandar narkoba, disamping dimiskinkan harta dan asset para bandar dam pengedar ......mereka merusak para muda mudi Indonesia sbg penerus bangsa , dan pihak penegak hukum hrs tegas kepada mereka.",hukum mati pantaa edar bandar narkoba samping miskin harta asset bandar dam edar rusak muda mud indonesia sbg terus bangsa tegak hukum hrs
492,Han 123,2023-09-13T16:06:57Z,BARANG BUKTI SABU2 LANGSUNG BAKAR DI TEMPAT KEJADIAN TIDAK USAH DI SITA BAWA KE LAIN BARANG BUKTI SABU2 NYA SUPAYA TIDAK BEREDAR LAGI BARANG BUKTI SABU2 NYA. LANGSUNG BAKAR DI TEMPAT KEJADIAN SABU2 BARANG BUKTI TIDAK USAH DI SITA ATAU BAWA KE LAIN SABU2 BARANG BUKTI NYA.,barang bukti sabu bakar jadi sita bawa barang bukti sabu edar barang bukti sabu bakar jadi sabu barang bukti sita bawa sabu barang bukti
493,Bang Doel,2023-09-13T02:57:53Z,"Gak akan pernah habis jika gak di hukum mati,gak ada efek jera atau shock terapi.",gak habis gak hukum mati gak efek jera shock terapi
494,Da silva90,2023-09-13T21:38:48Z,"Ahhh paling 10 T itu di media doank yg kalian tunjuk, ntr jg kalian makan smua itu uang.",ahhh  media doank ntr juga makan semua uang
495,Haeruddin HS,2023-09-19T13:02:29Z,"Ini SDH settingan,,narkoba tdk akan pernah habis dindonesia Krn baxak oknum yg terlibat dan yg terjaring SDH direkayasa haxa sebahagian kecil",sudah settingan narkoba tidak habis dindonesia karena baxak ooknum libat jaring sudah rekayasa haxa sebahagian
496,Vaksinasi Covid 19,2023-09-13T04:31:18Z,"Mau 1 org ato semua org ken tangkap, narkoba gk ad hbis nya woy,, biar 1 per 1 kena tangkap pun juga,,klo dh keluar penjara psti berulah lgi, 😂", orang ato orang ken tangkap narkoba ada hbis woy biar   tangkap kalau dh penjara pasti ulah lagi
497,Belajar Teknisi,2023-09-13T05:32:38Z,"woow.. 10 T, menghasilkan uang 1 jt pun sekarang susah.. Good Luck Polri",woow  hasil uang  jt susah good luck polri
498,Al Zain,2023-09-18T04:02:43Z,"Tu lebih baik uang sitaan pergunakan buat beli alat tempur Alustista moderen biar NKRI ga di remehkan negara luar,uang sitaan2,korusi,narkoba para oknum penghiyanat NKRI,lebih baik di gunakan buat beli Alat-alat. Perang Alustista canggih,jangan di bagi2 di bikin bonus ke para pejabat,ga barokah bro,",uang sita guna beli alat tempur alustista moderen biar nkri tidak remeh negara uang sita korusi narkoba ooknum penghiyanat nkri beli alat alat perang alustista canggih bagi bikin bonus jabat tidak barokah bro
499,RedAka,2023-09-18T08:30:25Z,"Hukum mati inimah gk bisa diganggu gugat,itu jg kalo waras😅",hukum mati inimah ganggu gugat juga kalau waras
500,Adi niptan Saputra,2023-09-16T05:20:42Z,Percuma sih klo cuman d penjara doang mreka g akn kapok buktinya masih bisa ngendaliin dri dlm lapas d tambah ada ktrlibatan oknum trtntu harus ny stiap pengedar dan kurir ny itu d sita aset ny trus d hukum mati atau d tmbak d tmpat klo cuman d penjara doang smpe kpn pun g akn ada hbis ny krna mreka brpikir hukuman ny paling cuman pnjara doang klo mau d penjara kasih penjara yg super exstrim ketat pengawasan  dan aparat ny g mempan d sogok baru ada epek jera <br><br><br>Terimakasih🙏,kalau cuman penjara doang mreka akn kapok bukti ngendaliin dalam lapas klibatan ooknum tentu stiap edar kurir sita aset terus hukum mati tmbak tmpat kalau cuman penjara doang sampai kpn akn hbis karena mreka brpikir hukum cuman pnjara doang kalau penjara kasih penjara super exstrim ketat awas aparat mempan sogok epek jera terimakasih
501,Ferryansyah 05,2023-09-19T14:08:32Z,"Memang enak jadi bandar narkoba ,,polisi di indonesia  juga bisa kita jadikan budak narkoba asal duit banyak ..<br> <br>Coba kalian dengar lagu gayus tambunan",bandar narkoba polisi indonesia jadi budak narkoba duit coba dengar lagu gayus tambun
502,Ashadi cahyadin Cahyadin,2023-09-16T15:44:53Z,"Masrakat sangat apreasi kinerja polri ,semoga koruptor juga di Brantas seperti mafia narkoba,bravo polri",masrakat apreasi kerja polri moga koruptor berantas mafia narkoba bravo polri
503,Bejo Jenggot,2023-09-13T00:32:43Z,"Hebat hebat mantap polisi Indonesia Brantas terus jaringan narkoba sampai ke akar-akarnya, lanjutkan.",hebat hebat mantap polisi indonesia berantas jaring narkoba akar akar lanjut
504,joko Sediono,2023-09-13T13:45:34Z,Bandar narkoba &amp; koruptor wajib hukum mati tak ada kata terkecuali<br>Seperti yang terjadi pada almarhum Budiman,bandar narkoba koruptor wajib hukum mati terkecualiseperti almarhum budiman
505,Kundhori,2023-09-17T08:40:49Z,"Selagi hukum tidak pasti dan tegas terhdp pelaku pengedar markoba, negri ini jadi gudang bandar",selagi hukum terhdp laku edar markoba negri gudang bandar
506,ahmad,2023-09-15T19:30:49Z,"Menjelang pemilu....butuh anggaran siluman,..berlanjut sMpai kiamat....pasti dah",jelang milu butuh anggar siluman lanjut smpai kiamat
507,MUHAMAD YASIN,2023-09-13T05:16:36Z,Tangkap yg terlibat  bila perlu hukum mati .kalau ada oknum aparat hukum .hukum berat.,tangkap libat hukum mati ooknum aparat hukum hukum berat
508,trisno Gp,2023-09-17T10:53:50Z,Tangkap dan penjarakan minimal seumur hidup utk para bandar &amp; beking Narkoba itu,tangkap penjara minimal umur hidup untuk bandar beking narkoba
509,Warungjasa Kampus,2023-09-13T02:10:40Z,ini mah udah sah semua nya di hukum mati <br>Udah bawa aja langsung ke nusa kambangan,sudah sah hukum mati sudah bawa nusa kambang
510,Suristin suristina Suritina,2023-09-13T00:08:39Z,"Alhamdullillah...ayo majukan endonesa bersih dari barang terlarang, semoga bandar bandar pengedar satu persatu akan tertangkap semua, biyar rakyàt indonesa ànak generasi muda biyar tidàk di jajah dengan narkoba lagi, karna skrg ini tidàk di kota saja yg diedarin, di desapun dah bànyàk anak anak muda yg di serang di rusak masadepan nya dengan narkoba, oràng tuwa kerja keras di negara orang, ànak nya di rumàh padà di cekokin sama tmn yg dàh liyar, beràntas semua sampai di ujung pelosok desa biyar indonesa bersih dari narkoba, kasihan rakyàt kecil  banyak yg jadi korban.terimakasih bpk polisi semangàt untuk betantas narkoba",alhamdullillah ayo maju endonesa bersih barang larang moga bandar bandar edar satu tangkap biyar rakyt indonesa nak generasi muda biyar tidk jajah narkoba karena sekarang tidk kota diedarin desa banyak anak anak muda serang rusak masadepan narkoba orng tuwa keras negara nak rumh pad cekokin tmn dh liyar berntas ujung pelosok desa biyar indonesa bersih narkoba kasihan rakyt korban terimakasih bpk polisi semangt betantas narkoba
511,Anwar Anwar,2023-09-13T02:32:30Z,MAS GANJAR KASIHAN  FILM  PORNO NYA SEKARANG SUDAH DIGEREBEG JADI ENGGAK BISA NONTON FILM PORNO LAGI YA,mas ganjar kasihan film porno digerebeg nonton film porno
512,ABDI FERIYANDI ZEN,2023-09-12T23:59:08Z,Selamat dan terimakasih polri indonesia yg membrantas narkoba internasional dan lokal❤,selamat terimakasih polri indonesia memberantas narkoba internasional lokal
513,Swarno Wawang,2023-09-17T01:35:36Z,"Rakya indonesia bangga terhadap bapak polisi yg bisa sergap jaringan ini,semoga pak kapolri sehat slalu ,dan bisa menangkap yang lebih besar lagi kalau bisa hukum mati saja",rakya indonesia bangga polisi sergap jaring moga kapolri sehat slalu tangkap hukum mati
514,Infinix Baru,2023-09-15T23:21:38Z,"Pak presiden dan Kapolri tolong lah...di Binjai dan kab Langkat sampai sekarang sangat marak yg ditangkap<br>hanya kacungnya, bahkan ka<br>Polda yg SDH diganti pura2<br>membuat statement sedang<br>dikejar/buru tapi kami tau ban<br>Dar tersebut tetap berada di<br>tempat.",presiden kapolri tolong binjai kab langkat marak ditangkapha kacung kapolda sudah ganti  statement sedangdikejar buru tau bandar tempat
515,Saiho Susanto,2023-09-19T13:10:16Z,HUKUM MATI DACH.. BIAR CEPET HABIS TUH POPULASI ORG JAHAT. DI NEGRI INI TERMASUK PEJABAT KORUP DAN PEMIMPIN  YG DZOLIM.,hukum mati dach biar cepet habis populasi orang jahat negri jabat korup pimpin dzolim
516,Rendra Prakosa,2023-09-13T02:35:23Z,"Narkoba sdh merupakan profesi dan ladang duit yg menguntungkan dgn cara yg mudah, meskipun resikonya besar, klo lagi sial ....<br><br>Krn permintaan pasar selalu ada dan bisa dibentuk ....",narkoba sudah profesi ladang duit untung dengan mudah resiko kalau sial karena minta pasar bentuk
517,Tau Buer,2023-09-16T11:14:29Z,Pemerintah indonesia sedang bekerjasama dengan negara perusak bangsa. Cina keparat pemasok narkoba terbesar seluruh dunia,perintah indonesia bekerjasama negara usak bangsa cina keparat pasok narkoba besar dunia
518,Sugi Anto,2023-09-14T09:38:41Z,Bakar hidup. Itu bahaya buat rakyat indonesia.klk tidak ceoat. Di hukum mati.nanti lama2 uang lagi yg bicara.,bakar hidup bahaya rakyat indonesia klk ceoat hukum mati lama uang bicara
519,Nanang Bantara,2023-09-13T05:38:00Z,"Owh penangkapan nya gabungan sama negara lain , klo SMA negara sendiri mah pasti di kasih 1M bakalan aman itu🤣",owh tangkap gabung negara kalau sma negara kasih m aman
520,Andi Phone,2023-09-16T04:35:25Z,Alah ujung-ujungnya polisi juga tuu orang dalamnya taulah di Konoha ini banyak kali tikus nya dan pkinya kalo kasusnya kayak gini cepat kali tapi kalo kasus Rempang ditutup-tutupi apa kayak gitu gak guna ada polisi dan presidennya samasama kotor dan rakus kekuasaan,alah ujung ujung polisi tuu dalam tau konoha tikus pki kalau kasus kayak gin cepat kalau rempang tutup tutup kayak gitu gak polisi presiden samasama kotor rakus kuasa
521,aziz latif,2023-09-13T02:04:42Z,Cina mengirim narkoba ke indonesia dan hasilnya di jadikan investasi di indonesia..yg ada di indonesia menjadi korban pemakannya dan korban aturan hukumnya..,cina kirim narkoba indonesia hasil jadi investasi indonesia indonesia korban makan korban atur hukum
522,Pal 8 Pale,2023-09-13T00:43:03Z,"Indonesia warga total 300jt...<br>Harusnya dikulik ampe akar, potensi narkoba itu 380T...",indonesia warga total    lik ampe akar potensi narkoba   
523,cah tegal ngapak,2023-09-13T02:06:57Z,"Semoga segera terungkap semua sampai ke akar akarnya,,, seperti china dong ketegasanya, jangan di sogok duit terus diam permasalahan hilang, korupsi juga harus di tindak tegas dong.",moga ungkap akar akar china ketegasa sogok duit diam masalah hhilang korupsi tindak
524,SUHAEILI ELI,2023-09-19T08:13:09Z,trmkasiiii Bp polisiii<br>atas truus bersemangat truus dan trus mencari serta menuntaskan kasus kasus,trmkasiiii bp polisiiiatas truus semangat truus terus cari tuntas
525,Heri Supriyadi,2023-09-17T11:04:07Z,DIINDONESIA PEREDARAN NARKOBA ENGGAK HABIS HABISNYA.....KALAU APARAT HUKUMNYA TIDAK BERSIH...IBARAT PEMADAM KEBAKARAN PADAM DISINI TIMBUL LAGI DITEMPAT LAIN....BUKAN RAHASIA UMUM LAGI.,indonesia edar narkoba habis habis aparat hukum bersih madam bakar padam timbul tempat rahasia
526,Soeroso,2023-09-18T10:37:51Z,Kalau NKRI mau aman dan maju maka perlu dilakukan <br>Penjahat dan pejabat yg terlibat dlm kejahaan narkoba harus dihukum se berat2 nya.<br>Koruptor yg tertangkap harus dihukum se berat2 nya dan dimiskinkan serta disita aset2 yg terkait kait dg kejahatannhya.<br>Kalau hukuman ini terlaksana isyaallah NKRI  aman maju dan rakyat akan makmur.,nkri aman maju jahat jabat libat dalam jaha narkoba hukum berat koruptor tangkap hukum berat miskin sita aset kait kait dg kejahatannhya hukum laksana isayaallah nkri aman maju rakyat makmur
527,Gina Pratami,2023-09-20T14:17:28Z,"Gimana mau narkoba bisa di brntas, jika krn blm di tutup airnya akan tetap mengalir, jika msh ada aparat yg msh terlibat n ada yg jd beking n komplotannya susah akan membrntas, klo keran airnya di tutup tdk akan mengalir ke masyarakat",gimana narkoba brntas karena blm tutup air alir aparat libat beking komplot susah membrntas kalau keran air tutup tidak alir masayarakat
528,Hj Hj,2023-09-20T00:30:24Z,Mantap pak pol wahyu dlm menangani kasus narkoba.doa kami  menyertai kalian semua,mantap pol wahyu dalam tangan narkoba doa serta
529,Win Arto,2023-09-18T08:59:42Z,"Hahaha di buat langganan boleh2 ..  di rasa indonesia aman walau tertangkap tidak di hukum mati saja enak lewat  sini.. hahaha.. apa semua  narkoba mau lewat Indonesia. Silahkan 2.. silahkan..masuk ke Indonesia...hehe..  tidak di hukum mati saja  repot.. ditangkap di jalani oke <b>Sdh banyak di hukum mati ujung2 nya netizen tau tidak jadi di eksekusi mati</b> .. hahaha.. semua negara tahu dan sistim Indonesia gerta sambal.. begini lewat indonesia saja ciamik aman.  😎😎😎😎😎😎😎 <a href=""https://www.youtube.com/watch?v=PO1IloHn1pk&amp;t=11m05s"">11:05</a>",langgan boleh indonesia aman tangkap hukum mati narkoba indonesia silah  silah indonesia hukum mati repot tangkap jalan oke sudah hukum mati ujung netizen tau eksekusi mati negara sistim indonesia gerta sambal indonesia ciamik aman  
530,Shino Oxa,2023-09-13T03:55:43Z,"Bukan nya berkurang malah bertambah peminat nyaaa, Memang Sulit😛..<br>Hukuman Mati - Entah Lah !!!<br>Musnahkan barang bukti - Entah Lah !!!",kurang tambah minat nyaaa sulit hukum mati musnah barang bukti
531,Ahmad Fikri,2023-09-16T07:13:23Z,CAAIIIIIRRRRRRR 🤣<br>SEKILO AJA BANYAK DUITNYA <br>APALAGI 10T<br>Pura2 ga tau aja dah 🤣🤣,caaiiiiirrrrrrr kilo duit    tidak tau
532,Pro Coll,2023-09-12T23:15:16Z,"otak2 kasus bgni lo gak sanggup tangkep, tp kl pelaku penistaan, pelecehan, cepet bngt.",otak bgni gak sanggup tangkep tapi kalau laku nista leceh cepet bngt
533,Aris Aris,2023-09-16T23:33:38Z,Coba sama dengan koruptor pas ketangkep jagan di sita hasil uang yang di ambil. Tp berikut kekayaan yg dipunya alias di miskinkan,coba koruptor pas ketangkep jagan sita hasil uang ambil tapi kaya dipu alias miskin
534,Nelawati Nelawati,2023-09-14T23:20:38Z,Di luar di tangkepin tp di dlm msh bs pke narkoba..ad brg masuk ke lapaa sih gmn critany..ud aj gs di tangkepin,tangkepin tapi dalam pke narkoba ada brg lapaa critany ud aj gs tangkepin
535,@jackUnik,2023-09-16T09:14:15Z,"Kurang setoran, atau gak sudah waktunya di tangkap, di seluruh Indonesia narkoba bebas di jual karena ada Oknum.",setor gak tangkap indonesia narkoba bebas jual ooknum
536,Gading Fajar,2023-09-19T04:26:23Z,Jangan Sampai Para Pihak Penegak HUKUM IKUT MEMAKAN UANG HASIL DARI PERDAGANGAN NARKOBA.. JANGAN TERGIUR OLEH UANG KOTOR. . INGAT INGAT,tegak hukum makan uang hasil dagang narkoba giur uang kotor
537,winner darkweb,2023-09-13T00:34:35Z,AMIN.YRA...INDONESIA SURGA NARKOBA DAN KORUPTOR...SMOGA SLALU DI LESTARIKAN DAN DI BUDAYAKAN   .👍👍👍👍👍😆,amin yra indonesia surga narkoba koruptor smoga slalu lestari budaya
538,mba jago,2023-09-15T05:02:44Z,"Judi, narkoba , yang main dia2 juga 😅 siapa yang tak tergiur bisinis di bidang 2 hal ini😊, gue aja kalo punya pangkat bakalan jadi pemain koq !!!",judi narkoba main dia giur bisinis bidang  saya kalau pangkat main koq
539,Yuliana Padang01,2023-09-18T03:03:16Z,"Pk ini krna mau Pemilu dibrsihkan nanti sda pemilu bnjir lgi narkoba ,krna dibking oleh oknum pejabat.",pk karena milu dibrsihkan sda milu bnjir lagi narkoba karena dibking ooknum jabat
540,Mochtar Yahya,2023-09-16T04:10:39Z,indonesia itu tanah subur emas ada berlian ada tembaga ada makanya orang negara luar negeri itu iri dengki,indonesia tanah subur emas berlian tembaga negara negeri iri dengki
541,pengembalacebongcom,2023-09-19T15:54:42Z,"Gila...segitu banyak harta yang di kumpulkan,berapa lama dia kumpulkan dan Berapa banyak....😱.... manusia yang telah mereka Rusak di Negeri ini???",gila segitu harta kumpul kumpul manusia rusak negeri
542,Ahmad Fikri,2023-09-16T07:12:40Z,CAAIIIIIRRRRRRR 🤣<br>SEKILO AJA BANYAK DUITNYA <br>APALAGI 10T<br>Pura2 ga tau aja dah 🤣🤣,caaiiiiirrrrrrr kilo duit    tidak tau
543,M Alif Candra Mata,2023-09-13T00:02:37Z,"<b>KUHP (Tegas dan Mengikat)</b><br><br>Sejak reformasi tahun 1998, negara dan bangsa ini kacau balau, rakyat sudah terbiasa dengan narkoba, pornografi, free sex, perzinaan, pencurian, penipuan, perjudian, perampokan, pembegalan, pembunuhan, pemerkosaan, korupsi, suap menyuap dan perbuatan kriminal lainnya.<br><br>Negeri ini sudah terlalu banyak masalah dan Bangsa ini sudah rusak.<br><br>Untuk menyelamatkan Negara, bangsa dan generasi penerus, maka Negara harus menata dan me-revisi Kitab Undang-Undang Hukum Pidana (KUHP) yang terkait dengan kriminal berat <br><br>Pemerintah bersama DPR harus me-revisi Kitab Undang-Undang Hukum Pidana (KUHP) yang terkait dengan kriminal berat (hanya 5 item masalah), yaitu laksanakan :<br><br>1. Hukuman mati bagi para pemakai dan pengedar narkoba<br>2. Hukuman potong tangan bagi yang mencuri<br>3. Hukuman potong tangan dan sita kekayaannya bagi yang korupsi <br>4. Hukuman mati bagi para pembunuh<br>5. Hukuman mati bagi para pemerkosa<br><br>KUHP ini harus tegas dan Fixed. Tidak ada lagi istilah hukuman minimal dan maksimal.<br><br>Jika KUHP ini sudah fixed, maka para Hakim dengan mudah memutuskan suatu perkara. <br><br>Jika terbukti seorang terdakwa pengedar narkoba, maka Hakim langsung menjatuhkan hukuman mati.<br><br>Jika seseorang mencuri atau korupsi senilai 10 gr emas maka hukumannya potong tangan, dan jika kurang dari 10 gr emas maka dicatat sebagai peringatan dan sampai 3x masih mencuri/korupsi maka dilakukan potong tangan.<br><br>Begitulah kira2 esensi isi KUHP tsb dan inilah solusi terbaik, simple, mudah, efisien dan efektif.<br><br>Penjara dan Lapas dibubarkan saja karena tidak ada manfaatnya dan mubazir. <br><br>Jika negara dan pemerintah melakukan langkah-langkah seperti diatas tsb, maka Negeri dan bangsa ini akan selamat, damai, adil dan sejahtera.<br>‐-------------‐----------------------------<br><br>Perhatikan KUHP terkait pencurian yaitu KUHP pasal 362 sd. 365. <br><br>Semua isi pasal dalam KUHP tsb hanya menjelaskan Hukuman Maksimal, tidak ada hukuman minimalnya.<br><br>KUHP terkait pencurian dg kekerasan, yaitu KUHP pasal 365 yg isinya sbb : <br><br>(Ayat 1). Dengan hukuman penjara selama-lamanya sembilan tahun, dihukum pencurian yang didahului, disertai atau di ikuti dengan kekerasan terhadap orang,...<br><br>(Ayat 2). Hukuman penjara selama-lamanya dua belas tahun, dijatuhkan<br>1e. jika perbuatan itu dilakukan pada waktu malam...<br><br>(Ayat 3). Hukuman penjara selama-lamanya lima belas tahun dijatuhkan jika karena perbuatan itu ada orang mati...<br><br>(Ayat 4). Hukuman mati atau hukuman penjara seumur hidup atau penjara sementara selama-lamanya dua puluh tahun...<br><br>Apa arti pasal 365 tsb ? <br><br>Semua ayat pada pasal tsb, hukumannya tertulis dengan kata2 &quot;selama-lamanya&quot;.<br><br>Itu artinya jika seseorang terbukti mencuri, hukumannya bisa saja hanya dipenjara 5 tahun, 3 bulan atau 1 bulan, dst, dan keputusan tsb mutlak tergantung kepada hakim. Apakah hukuman tsb adil ???<br><br>Dalam hukum islam, jika seseorang terbukti mencuri maka hukumannya potong tangan. Seorang hakim di pengadilan hanya membuktikan saja, apakah benar si terdakwa terbukti mencuri ?. Jika terbukti mencuri, maka terdakwa pasti dihukum potong tangan. Pengadilannya simple, tidak bertele-tele, prosesnya cepat dan tidak perlu ada penjara.<br><br>Sesungguhnya negeri ini tidak mempunyai KUHP, atau negara ini bisa dikatakan negara liar.<br><br>KUHP yg ada saat ini adalah KUHP peninggalan Belanda, dimana tidak ada kepastian hukum, tidak adil, tidak mengikat, ruwet dan bertele-tele. Dari hal tsb dapat disimpulkan bahwa KUHP yang ada saat ini adalah tidak benar.<br><br>Terkait hal ini maka KUHP yg terkait kriminal berat perlu di Revisi Total.<br>--------------------------------------<br><br>Sering kita mendengar istilah &quot;efek jera&quot; dengan menghukum para pembuat kriminal.<br><br>Janganlah pernah berharap supaya seseorang menjadi jera setelah dia mendapat hukuman. <br><br>Hukuman diberikan kepada seseorang yang bersalah hanya bertujuan untuk menegakkan keadilan dan membuat ketenteraman masyarakat, serta demi untuk menjalankan perintah Ilahi.<br><br>Misalnya seorang pengedar narkoba dijatuhi hukuman mati oleh seorang hakim. Hakim hanya menjalankan tugasnya saja dan Hakim tidak boleh merasa kasihan kepada si terdakwa. Cukup sajalah Tuhan yang memaafkan si terdakwa.<br><br>Kemudian setelah hukuman dijatuhkan dan si terdakwa di eksekusi mati, maka kita semua termasuk pemerintah jangan berharap banyak bahwa akan ada efek jera terhadap yg lain.<br><br>Hukuman diberikan bukan mengharapkan efek jera. Kita tidak peduli &quot;mau jera atau tidak&quot;.",kuhp ikat reformasi     negara bangsa kacau balau rakyat biasa narkoba pornografi free sex zina curi tipu judi ampo begal bunuh perkosa korupsi suap suap buat kriminal negeri bangsa rusak selamat negara bangsa generasi terus negara tata revisi kitab undang undang hukum pidana kuhp kait kriminal berat perintah dpr revisi kitab undang undang hukum pidana kuhp kait kriminal berat  item laksana  hukum mati pakai edar narkoba hukum potong tangan curi hukum potong tangan sita kaya korupsi  hukum mati bunuh hukum mati pemerkosakuhp fixed istilah hukum minimal maksimal kuhp fixed hakim mudah putus perkara bukti dakwa edar narkoba hakim jatuh hukum mati curi korupsi nila  gr emas hukum potong tangan  gr emas catat ingat x curi korupsi potong tangan kira esensi isi kuhp tsb solusi baik simple mudah efisien efektif penjara lapas bubar manfaat mubazir negara perintah langkah langkah atas tsb negeri bangsa selamat damai adil sejahtera perhati kuhp kait curi kuhp pasal    sd    isi pasal kuhp tsb hukum maksimal hukum minimal kuhp kait curi dg keras kuhp pasal    isi sbb ayat  hukum penjara sembilan hukum curi dahulu serta ikut keras ayat  hukum penjara belas  buat malam ayat  hukum penjara belas jatuh buat mati ayat  hukum mati hukum penjara umur hidup penjara puluh pasal    tsb ayat pasal tsb hukum tulis kata bukti curi hukum penjara    dst putus tsb mutlak gantung hakim hukum tsb adil hukum islam bukti curi hukum potong tangan hakim adil bukti dakwa bukti curi bukti curi dakwa hukum potong tangan adil simple tele tele proses cepat penjara sungguh negeri kuhp negara negara liar kuhp kuhp tinggal belanda mana pasti hukum adil ikat ruwet tele tele tsb simpul kuhp kait kuhp kait kriminal berat revisi total dengar istilah efek jera hukum buat kriminal harap jera hukum hukum salah tuju tegak adil tenteram masayarakat jalan perintah ilahi edar narkoba jatuh hukum mati hakim hakim jalan tugas hakim kasihan dakwa tuhan maaf dakwa hukum jatuh dakwa eksekusi mati perintah harap efek jera hukum harap efek jera peduli jera
544,acoktube,2023-09-13T00:20:37Z,Makanya hukum mati para koruptor coba pak presiden jngn para bandar kan itu ulah anak buah pak presiden sendiri yg pada korupsi,hukum mati koruptor coba presiden jangan bandar ulah anak buah presiden korupsi
545,Razer Supreme,2023-09-16T03:07:46Z,Capeklah liat drama polisi konoha...waktu narkoba cuan..dibekingin sendiri..begitu jatah preman kurang..dibongkar ditangkep sendiri..trus pres konference sendiri biar dianggep kerja..sebenernya mau lu apa gitu..tirulah polisi indonesia..jujur santun merakyat dan mengayomi rakyatnya..the best lah polisi indo,capek liat drama polisi konoha narkoba cuan dibekingin jatah preman bongkar ditangkep terus pres konference biar dianggep sebener lu gitu tiru polisi indonesia jujur santun rakyat ayom rakyat best polisi indo
546,Warsito Toto02,2023-09-13T00:51:43Z,Ketika negara2 asing mengetatkan hukuman mk barang haram tsb mengalir ke negri ini dg anggapan masyarakatnya potensial dan hukuman bs dinego lewat oknum.,negara asing ketat hukum mk barang haram tsb alir negri dg anggap masayarakat potensial hukum dinego ooknum
547,Dwi Gita Fansiska Ramadani,2023-09-13T09:08:05Z,Maaf nih tanya 🙊 BB nya uang cash apakah gak kwatir oknum polisi ngantongin bareng&quot; dengan total sebanyak itu? ☺,maaf nih uang cash gak kwatir ooknum polisi ngantongin bareng total
548,sid jenar,2023-09-14T07:13:21Z,apa kabar korupsi 349 triliun ?? adem adem aja,kabar korupsi    triliun adem adem
549,Fauz 748,2023-09-16T06:13:54Z,"Di sini pak ,di sumatera utara kabupaten langkat kecamatan pangkalan susu, penjualan narkoba jenis sabu2 sangat meraja lela sprti menjual bahan pokok bebas..tolong sangat pak peresiden ,pak kapolri dan pak kpoda",sumatera utara kabupaten langkat camat pangkal susu jual narkoba jenis sabu raja lela sprti jual bahan pokok bebas tolong residen kapolri kpoda
550,Junaidi Ali Akbar,2023-09-15T23:39:15Z,"Saya yakin masih banyak kelompok Mafia Narkoba jaringan amtar Negara, terus kejar Polri ! Good Luck",kelompok mafia narkoba jaring amtar negara kejar polri good luck
551,Sunarto Sunarto,2023-09-13T15:17:21Z,Hukum mati ga boleh damai demi generasi muda  dan bangsa Indonesia.,hukum mati tidak damai generasi muda bangsa indonesia
552,Kasyim 92,2023-09-16T01:52:36Z,Tembak mati byr ank muda GK trjrmus brang narkoba tu,tembak mati byr ank muda trjrmus barang narkoba
553,Arjuna Januardi,2023-09-17T12:47:44Z,Pencitraan😂😂😂Budi Budiman Bawak narkobanya pakai mobil berbintang lgs di eksekusi😂😂😂 agar aja Ngan ketahua😂😂😂,citra budi budiman bawak narkoba pakai mobil bintang lgs eksekusi ngan ketahua
554,cleo farm,2023-09-13T11:05:14Z,Ketawa gw kalo ada berita POLISI nangkep bandar narkoba. Wkwkwkwk si polisi.........,ketawa kalau berita polisi nangkep bandar narkoba polisi
555,Midomido,2023-09-16T22:49:42Z,"ga lama yg kaya gini nanti juga kekubur berita kaya gini di ganti ama berita porno kocak 😂 , atau ini cuma pengalihan dari berita rempang ya biar lancar bongkar rumah warga nya",tidak kaya gin kubur berita kaya gin ganti ama berita porno kocak alih berita rempang biar lancar bongkar rumah warga
556,MLBB chanel,2023-09-19T05:20:37Z,"Ini baru penegak negara yg luar biasa, saya dari masyarakat mengapresiasikan kepada jajaran kepolisian yg bertugas yg bisa mengungkap gembong besar narkoba🙏🙏🙏",tegak negara masayarakat apresiasi jajar polisi tugas ungkap gembong narkoba
557,KEREN channel,2023-09-13T14:41:22Z,"Menurut saya segala hal bersangkutan dengan kejahatan yang sangat merugikan orang lain, seperti begal, genk motor, bandar narkoba, tak usah di proses, langsung saja di hukum mati. Biar yang lain bisa hidup tenang.",sangkut jahat rugi begal genk motor bandar narkoba proses hukum mati biar hidup tenang
558,Yaki Niku,2023-09-13T15:29:30Z,"kalo bisa itu sabu lansung di bakar , kalo di simpan di kepolisian nanti itu barang mondar mandir di dalam lagi .",kalau sabu lansung bakar kalau simpan polisi barang mondar mandir
559,D Merlin Merliana,2023-09-12T23:20:07Z,"Barbuk nya musnahkan pak,jgn d sita,ntar tkt di salah gunakan oleh oknum yg tidak bertanggung jwb",barang bukti musnah jangan sita ntar tkt salah ooknum tanggung jwb
