Nomor,Nama Akun,Tanggal Komentar,Komentar,Komentar_Preprocessing
737,Amrizen Amrizen,2023-09-13T09:30:38Z,Banyak penangkapan narkoba barang buktinya kok tidak pernah muncul hilang kayak ditelan bumi ada apa ya,tangkap narkoba barang bukti muncul hhilang kayak tel bumi
738,Syafrudin Yusuf,2023-09-13T08:45:02Z,Walau terta gkap dan bukti lengksp para ai humu td mampu hukum mati para pelamu narko,terta gkap bukti lengksp ai humu td hukum mati pelamu narko
739,Tatang Danial,2023-09-15T23:22:04Z,"Bravo Polri, sikat habis para pelaku dan oknum polri yg terlibat, sekaligus sita seluruh asset yg dimiliki, trims Polri",bravo polri sikat habis laku ooknum polri libat sita asset milik trims polri
740,Maggot Alam Lestari,2023-09-13T04:21:42Z,"Test urine dong, utk anggota seluruh ya divisi Narkotika RI. Tunjukin ke publik",test urine untuk anggota divisi narkotika ri tunjukin publik
741,Sedang mengetik,2023-09-17T16:08:17Z,"Narkoba dberantas,paten joss<br><br>Smoga tikus berdasi juga d tangkap(korup)",narkoba dberantas paten josssmoga tikus das tangkap korup
742,LOGIKAKU(NATURE),2023-09-13T15:06:02Z,YAKINKAH DAN BERANIKAH APARAT PENEGAK HUKUM MEMBUKTIKAN KALAU ADA ANGGOTANYA SAMA SEKALI TDK ADA YANG TERLIBAT.....?,yakin berani aparat tegak hukum bukti anggota tidak libat
743,Hartatik Barisan,2023-09-17T02:38:35Z,SETUJU ....JIKA PELAKU INI DI HUKUM BERAT BAHKAN HUKUMAN MATI...MEREKA INI TELAH MERUSAK MENTAL DAN FISIK GENERASI MUDA...,tuju laku hukum berat hukum mati rusak mental fisik generasi muda
744,Ayu Sri,2023-09-13T03:40:06Z,"ku doa kan semoga yang memakai narkob di mati rasa kan rasa narkob agar penjual narkob tidak laku dan gulung tikar,aminn",ku doa moga pakai narkob mati narkob jual narkob gulung tikar aminn
745,Didik Soepriadi123,2023-09-13T09:29:59Z,MANTAP Ndan....APLUSSS...KINERJA YG BAIK CUKUP MEMUASKAN.....tapi coba usut KASUS KANJURUHAN MALANG......MOHON IJIN ....agar kami bisa MENDENGAR LANGSUNG DARI SUMBERNYA .....,mantap ndan aplusss kerja muas coba usut kanjuruhan malang ijin dengar sumber
746,Heri Pras,2023-09-12T23:40:42Z,Nah baru nih enak denger nya kalo kayang bede bede gedenya ke tengkep,nih denger kalau kayang bede bede gede tengkep
